Plant Name,Capacity (MW),Project Status,Year of Commission,Technology,State,Country,Region,Estimated Annual CO2 Emission from Power Generation (1000 ton),Deal type,FDI?,Investing Company,Investing Country Ownership %,FDI Deal Type,Involving Chinese Policy bank?,Lender,Borrower,Source ,,,,,,
Cabeco Da Rainha 3A,8,In Operation,2013,Wind,Castelo Branco,PORTUGAL,Europe/Central Asia,0,M&A,Yes,China Three Gorges Corporation,50,M&A,No,NA,NA,http://old.sasac.gov.cn/n1808314/n2106300/n2106317/c2264904/content.html,,,,,,
Cabeco Da Rainha 3B,9,In Operation,2013,Wind,Castelo Branco,PORTUGAL,Europe/Central Asia,0,M&A,Yes,China Three Gorges Corporation,50,M&A,No,NA,NA,http://old.sasac.gov.cn/n1808314/n2106300/n2106317/c2264904/content.html,,,,,,
Cabeco Da Rainha 3C,14,In Operation,2013,Wind,Castelo Branco,PORTUGAL,Europe/Central Asia,0,M&A,Yes,China Three Gorges Corporation,50,M&A,No,NA,NA,http://old.sasac.gov.cn/n1808314/n2106300/n2106317/c2264904/content.html,,,,,,
Cabeco Da Rainha 3D,6,In Operation,2013,Wind,Castelo Branco,PORTUGAL,Europe/Central Asia,0,M&A,Yes,China Three Gorges Corporation,50,M&A,No,NA,NA,http://old.sasac.gov.cn/n1808314/n2106300/n2106317/c2264904/content.html,,,,,,
Cachoeira Caldeirao,220,In Operation,2016,Hydropower,AP,BRAZIL,LAC,0,Greenfield,Yes,China Three Gorges Corporation,63.36,Greenfield,No,NA,NA,"https://brasil.edp.com/en/cachoeira-caldeirao , https://www.ctgbr.com.br/en/portfolio-item/hydropower/",,,,,,
Cadafaz,10,In Operation,2013,Wind,Coimbra,PORTUGAL,Europe/Central Asia,0,M&A,Yes,China Three Gorges Corporation,50,M&A,No,NA,NA,http://old.sasac.gov.cn/n1808314/n2106300/n2106317/c2264904/content.html,,,,,,
Cafayate Solar,97.6,In Operation,2019,Solar,Salta,ARGENTINA,LAC,0,Greenfield,Yes,Canadian Solar,Not found,Greenfield,No,NA,NA,https://www.power-technology.com/news/canadian-solar-cafayate-project-argentina/,,,,,,
Callide,920,In Operation,2003,Coal,QLD,AUSTRALIA,Oceania,5594,M&A,Yes,China Huaneng Group,25,M&A,No,NA,NA,"http://www.chng.com.cn/eng/n75871/n75965/n1112734/index.html , http://www.chng.com.cn/eng/n75871/n75965/c212702/content.html , https://www.electricityforum.com/news-archive/dec03/Huaneng",,,,,,
Campeche,275,In Operation,2011,Gas,CAMP,MEXICO,LAC,671,M&A,Yes,China Huaneng Group,50,M&A,No,NA,NA,"http://www.chng.com.cn/n31533/n31685/n106253/n709042/index.html , http://www.intergen.com/news/intergen-inaugurates-new-power-plant-in-mexico",,,,,,
Campo Dos Ventos 1,29,In Operation,2017,Wind,RN,BRAZIL,LAC,0,M&A,Yes,State Grid Corporation of China,95,M&A,No,NA,NA,https://macauhub.com.mo/zh/2017/12/01/pt-grupo-china-state-grid-controla-9476-do-capital-da-brasileira-cpfl-energia/,,,,,,
Campo Dos Ventos 2,32,In Operation,2017,Wind,RN,BRAZIL,LAC,0,M&A,Yes,State Grid Corporation of China,95,M&A,No,NA,NA,https://macauhub.com.mo/zh/2017/12/01/pt-grupo-china-state-grid-controla-9476-do-capital-da-brasileira-cpfl-energia/,,,,,,
